;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_on_title;Enable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_on_desc;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
gtfo_off_title;Disable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_off_desc;Your decision list will now be uncluttered!;;;;;;;;;;;;x,,
gtfo_disabled_title;Deactivate 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_disabled_desc;The 'Release Vassal' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
gtfo_ADE_title;Grant Aden Independence;;;;;;;;;;;;x,,
gtfo_ADE_desc;We've had a good run, but it's time to end our rulership of Aden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADU_title;Grant Khilafat Qurtuba Independence;;;;;;;;;;;;x,,
gtfo_ADU_desc;We've had a good run, but it's time to end our rulership of Khilafat Qurtuba: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AFG_title;Grant Afghanistan Independence;;;;;;;;;;;;x,,
gtfo_AFG_desc;We've had a good run, but it's time to end our rulership of Afghanistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AJU_title;Grant Onuphrius Independence;;;;;;;;;;;;x,,
gtfo_AJU_desc;We've had a good run, but it's time to end our rulership of Onuphrius: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALD_title;Grant Algiers Independence;;;;;;;;;;;;x,,
gtfo_ALD_desc;We've had a good run, but it's time to end our rulership of Algiers: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALS_title;Grant Alsace Independence;;;;;;;;;;;;x,,
gtfo_ALS_desc;We've had a good run, but it's time to end our rulership of Alsace: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AND_title;Grant Andhra Independence;;;;;;;;;;;;x,,
gtfo_AND_desc;We've had a good run, but it's time to end our rulership of Andhra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ANH_title;Grant Anhalt Independence;;;;;;;;;;;;x,,
gtfo_ANH_desc;We've had a good run, but it's time to end our rulership of Anhalt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASH_title;Grant Ashanti Independence;;;;;;;;;;;;x,,
